127.0.0.1 - - [13/Jun/2019:12:01:12 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [13/Jun/2019:12:01:13 +0530] "GET /soccerleague/ HTTP/1.1" 200 700
0:0:0:0:0:0:0:1 - - [13/Jun/2019:12:01:15 +0530] "GET /soccerleague/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2019:12:01:15 +0530] "GET /soccerleague/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2019:12:01:16 +0530] "GET /soccerleague/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2019:12:01:16 +0530] "GET /soccerleague/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2019:12:01:16 +0530] "GET /soccerleague/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2019:12:01:16 +0530] "GET /soccerleague/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2019:12:01:17 +0530] "GET /soccerleague/add_league.view HTTP/1.1" 200 397
0:0:0:0:0:0:0:1 - - [13/Jun/2019:12:01:23 +0530] "GET /soccerleague/add_league.view HTTP/1.1" 200 397
0:0:0:0:0:0:0:1 - - [13/Jun/2019:12:01:23 +0530] "GET /soccerleague/add_league.view HTTP/1.1" 200 397
0:0:0:0:0:0:0:1 - - [13/Jun/2019:12:01:23 +0530] "GET /soccerleague/add_league.view HTTP/1.1" 200 397
0:0:0:0:0:0:0:1 - - [13/Jun/2019:12:01:23 +0530] "GET /soccerleague/add_league.view HTTP/1.1" 200 397
0:0:0:0:0:0:0:1 - - [13/Jun/2019:12:01:23 +0530] "GET /soccerleague/add_league.view HTTP/1.1" 200 397
0:0:0:0:0:0:0:1 - - [13/Jun/2019:12:01:24 +0530] "GET /soccerleague/add_league.view HTTP/1.1" 200 397
0:0:0:0:0:0:0:1 - - [13/Jun/2019:12:01:24 +0530] "GET /soccerleague/add_league.view HTTP/1.1" 200 397
0:0:0:0:0:0:0:1 - - [13/Jun/2019:12:01:24 +0530] "GET /soccerleague/add_league.view HTTP/1.1" 200 397
0:0:0:0:0:0:0:1 - - [13/Jun/2019:12:01:24 +0530] "GET /soccerleague/add_league.view HTTP/1.1" 200 397
0:0:0:0:0:0:0:1 - - [13/Jun/2019:12:01:24 +0530] "GET /soccerleague/add_league.view HTTP/1.1" 200 397
0:0:0:0:0:0:0:1 - - [13/Jun/2019:12:01:25 +0530] "GET /soccerleague/add_league.view HTTP/1.1" 200 397
0:0:0:0:0:0:0:1 - - [13/Jun/2019:12:01:25 +0530] "GET /soccerleague/add_league.view HTTP/1.1" 200 397
0:0:0:0:0:0:0:1 - - [13/Jun/2019:12:01:25 +0530] "GET /soccerleague/add_league.view HTTP/1.1" 200 397
0:0:0:0:0:0:0:1 - - [13/Jun/2019:12:01:25 +0530] "GET /soccerleague/add_league.view HTTP/1.1" 200 397
0:0:0:0:0:0:0:1 - - [13/Jun/2019:12:01:25 +0530] "GET /soccerleague/add_league.view HTTP/1.1" 200 397
0:0:0:0:0:0:0:1 - - [13/Jun/2019:12:01:25 +0530] "GET /soccerleague/add_league.view HTTP/1.1" 200 397
0:0:0:0:0:0:0:1 - - [13/Jun/2019:12:01:26 +0530] "GET /soccerleague/add_league.view HTTP/1.1" 200 397
0:0:0:0:0:0:0:1 - - [13/Jun/2019:12:01:26 +0530] "GET /soccerleague/add_league.view HTTP/1.1" 200 397
0:0:0:0:0:0:0:1 - - [13/Jun/2019:12:01:26 +0530] "GET /soccerleague/add_league.view HTTP/1.1" 200 397
0:0:0:0:0:0:0:1 - - [13/Jun/2019:12:01:26 +0530] "GET /soccerleague/add_league.view HTTP/1.1" 200 397
0:0:0:0:0:0:0:1 - - [13/Jun/2019:12:01:26 +0530] "GET /soccerleague/add_league.view HTTP/1.1" 200 397
0:0:0:0:0:0:0:1 - - [13/Jun/2019:12:01:27 +0530] "GET /soccerleague/add_league.view HTTP/1.1" 200 397
0:0:0:0:0:0:0:1 - - [13/Jun/2019:12:02:04 +0530] "GET /soccerleague/add_league.view HTTP/1.1" 200 392
0:0:0:0:0:0:0:1 - - [13/Jun/2019:12:02:05 +0530] "GET /soccerleague/add_league.view HTTP/1.1" 200 392
0:0:0:0:0:0:0:1 - - [13/Jun/2019:12:02:06 +0530] "GET /soccerleague/add_league.view HTTP/1.1" 200 392
0:0:0:0:0:0:0:1 - - [13/Jun/2019:12:02:06 +0530] "GET /soccerleague/add_league.view HTTP/1.1" 200 392
0:0:0:0:0:0:0:1 - - [13/Jun/2019:12:02:06 +0530] "GET /soccerleague/add_league.view HTTP/1.1" 200 392
0:0:0:0:0:0:0:1 - - [13/Jun/2019:12:02:06 +0530] "GET /soccerleague/add_league.view HTTP/1.1" 200 392
0:0:0:0:0:0:0:1 - - [13/Jun/2019:12:02:07 +0530] "GET /soccerleague/add_league.view HTTP/1.1" 200 392
0:0:0:0:0:0:0:1 - - [13/Jun/2019:12:02:07 +0530] "GET /soccerleague/add_league.view HTTP/1.1" 200 392
0:0:0:0:0:0:0:1 - - [13/Jun/2019:12:02:08 +0530] "GET /soccerleague/add_league.view HTTP/1.1" 200 392
0:0:0:0:0:0:0:1 - - [13/Jun/2019:12:02:08 +0530] "GET /soccerleague/add_league.view HTTP/1.1" 200 392
0:0:0:0:0:0:0:1 - - [13/Jun/2019:12:02:12 +0530] "GET /soccerleague/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2019:12:02:12 +0530] "GET /soccerleague/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2019:12:02:12 +0530] "GET /soccerleague/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2019:12:02:12 +0530] "GET /soccerleague/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2019:12:02:12 +0530] "GET /soccerleague/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2019:12:02:14 +0530] "GET /soccerleague/add_league.view HTTP/1.1" 200 392
0:0:0:0:0:0:0:1 - - [13/Jun/2019:12:02:16 +0530] "GET /soccerleague/add_league.do?season=select&title= HTTP/1.1" 200 110
0:0:0:0:0:0:0:1 - - [13/Jun/2019:12:02:18 +0530] "GET /soccerleague/add_league.html HTTP/1.1" 200 1082
0:0:0:0:0:0:0:1 - - [13/Jun/2019:12:02:18 +0530] "GET /soccerleague/css/style.css HTTP/1.1" 200 292
0:0:0:0:0:0:0:1 - - [13/Jun/2019:12:02:18 +0530] "GET /soccerleague/javascript/app.js HTTP/1.1" 200 490
0:0:0:0:0:0:0:1 - - [13/Jun/2019:12:02:23 +0530] "GET /soccerleague/add_league.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2019:12:02:23 +0530] "GET /soccerleague/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2019:12:02:23 +0530] "GET /soccerleague/javascript/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2019:12:02:23 +0530] "GET /soccerleague/add_league.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2019:12:02:23 +0530] "GET /soccerleague/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2019:12:02:23 +0530] "GET /soccerleague/javascript/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2019:12:02:29 +0530] "GET /soccerleague/add_league.view HTTP/1.1" 200 392
0:0:0:0:0:0:0:1 - - [13/Jun/2019:12:02:33 +0530] "GET /soccerleague/add_league.view HTTP/1.1" 200 392
0:0:0:0:0:0:0:1 - - [13/Jun/2019:12:02:33 +0530] "GET /soccerleague/add_league.view HTTP/1.1" 200 392
0:0:0:0:0:0:0:1 - - [13/Jun/2019:12:02:33 +0530] "GET /soccerleague/add_league.view HTTP/1.1" 200 392
0:0:0:0:0:0:0:1 - - [13/Jun/2019:12:02:33 +0530] "GET /soccerleague/add_league.view HTTP/1.1" 200 392
0:0:0:0:0:0:0:1 - - [13/Jun/2019:12:02:33 +0530] "GET /soccerleague/add_league.view HTTP/1.1" 200 392
0:0:0:0:0:0:0:1 - - [13/Jun/2019:12:02:34 +0530] "GET /soccerleague/add_league.view HTTP/1.1" 200 392
0:0:0:0:0:0:0:1 - - [13/Jun/2019:12:02:34 +0530] "GET /soccerleague/add_league.view HTTP/1.1" 200 392
0:0:0:0:0:0:0:1 - - [13/Jun/2019:12:02:34 +0530] "GET /soccerleague/add_league.view HTTP/1.1" 200 392
0:0:0:0:0:0:0:1 - - [13/Jun/2019:12:02:34 +0530] "GET /soccerleague/add_league.view HTTP/1.1" 200 392
0:0:0:0:0:0:0:1 - - [13/Jun/2019:12:03:15 +0530] "GET /soccerleague/add_league.view HTTP/1.1" 200 392
0:0:0:0:0:0:0:1 - - [13/Jun/2019:12:03:16 +0530] "GET /soccerleague/add_league.view HTTP/1.1" 200 392
0:0:0:0:0:0:0:1 - - [13/Jun/2019:12:03:17 +0530] "GET /soccerleague/add_league.view HTTP/1.1" 200 392
0:0:0:0:0:0:0:1 - - [13/Jun/2019:12:03:17 +0530] "GET /soccerleague/add_league.view HTTP/1.1" 200 392
0:0:0:0:0:0:0:1 - - [13/Jun/2019:12:03:17 +0530] "GET /soccerleague/add_league.view HTTP/1.1" 200 392
0:0:0:0:0:0:0:1 - - [13/Jun/2019:12:03:17 +0530] "GET /soccerleague/add_league.view HTTP/1.1" 200 392
0:0:0:0:0:0:0:1 - - [13/Jun/2019:12:03:17 +0530] "GET /soccerleague/add_league.view HTTP/1.1" 200 392
0:0:0:0:0:0:0:1 - - [13/Jun/2019:12:03:32 +0530] "GET /soccerleague/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2019:12:03:32 +0530] "GET /soccerleague/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2019:12:03:33 +0530] "GET /soccerleague/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2019:12:03:33 +0530] "GET /soccerleague/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2019:12:03:33 +0530] "GET /soccerleague/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2019:12:03:33 +0530] "GET /soccerleague/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2019:12:03:33 +0530] "GET /soccerleague/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2019:12:03:34 +0530] "GET /soccerleague/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2019:12:03:34 +0530] "GET /soccerleague/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2019:12:03:34 +0530] "GET /soccerleague/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2019:12:03:34 +0530] "GET /soccerleague/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2019:12:03:34 +0530] "GET /soccerleague/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2019:12:03:34 +0530] "GET /soccerleague/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2019:12:03:35 +0530] "GET /soccerleague/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2019:12:03:35 +0530] "GET /soccerleague/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2019:12:03:35 +0530] "GET /soccerleague/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2019:12:03:35 +0530] "GET /soccerleague/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2019:12:03:35 +0530] "GET /soccerleague/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2019:12:03:36 +0530] "GET /soccerleague/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2019:12:03:36 +0530] "GET /soccerleague/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2019:12:03:36 +0530] "GET /soccerleague/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2019:12:03:36 +0530] "GET /soccerleague/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2019:12:03:36 +0530] "GET /soccerleague/ HTTP/1.1" 304 -
